id,name,artist,cardClass,cost,attack,health,set,type,rarity
AT_001,Lance de flammes,Nutthapon Petchthai,MAGE,5,,,TGT,SPELL,COMMON
AT_002,Effigie,Tooth,MAGE,3,,,TGT,SPELL,RARE
AT_003,Héros défunt,Arthur Bozonnet,MAGE,2,3,2,TGT,MINION,RARE
AT_004,Déflagration des Arcanes,Gabor Szikszai,MAGE,1,,,TGT,SPELL,EPIC
AT_005,Métamorphose : sanglier,Mike Sass,MAGE,3,,,TGT,SPELL,RARE
AT_006,Aspirant de Dalaran,Dan Scott,MAGE,4,3,5,TGT,MINION,COMMON
AT_007,Jette-sorts,Andrew Hou,MAGE,3,3,4,TGT,MINION,COMMON
AT_008,Drake de Frimarra,Christopher Moeller,MAGE,6,6,7,TGT,MINION,EPIC
AT_009,Rhonin,Zoltan & Gabor,MAGE,8,7,7,TGT,MINION,LEGENDARY
AT_010,Dompteur de béliers,Brandon Kitkouski,HUNTER,5,3,3,TGT,MINION,RARE
AT_011,Championne sacrée,Alex Garner,PRIEST,2,1,4,TGT,MINION,COMMON
AT_012,Rejeton des Ombres,Dave Allsop,PRIEST,5,5,5,TGT,MINION,RARE
AT_013,Mot de pouvoir : Gloire,Mike Sass,PRIEST,1,,,TGT,SPELL,COMMON
AT_014,Ombrefiel,Warren Mahy,PRIEST,2,2,3,TGT,MINION,EPIC
AT_015,Convertir,Dan Dos Santos,PRIEST,3,,,TGT,SPELL,RARE
AT_016,Confusion,Sean O’Daniels,PRIEST,2,,,TGT,SPELL,EPIC
AT_017,Gardien du Crépuscule,Slawomir Maniak,NEUTRAL,4,2,6,TGT,MINION,EPIC
AT_018,Confesseur d’argent Paletress,Chris Rahn,PRIEST,7,5,4,TGT,MINION,LEGENDARY
AT_019,Destrier de l’effroi,Alex Horley Orlandelli,WARLOCK,4,1,1,TGT,MINION,EPIC
AT_020,Garde funeste effroyable,Anton Zemskov,WARLOCK,7,6,8,TGT,MINION,COMMON
AT_021,Minuscule chevalier maléfique,Raymond Swanland,WARLOCK,2,3,2,TGT,MINION,RARE
AT_022,Poing de Jaraxxus,Matt Dixon,WARLOCK,4,,,TGT,SPELL,RARE
AT_023,Écraseur du Vide,Skan Srisuwan,WARLOCK,6,5,4,TGT,MINION,RARE
AT_024,Fusion démoniaque,Kevin Chen,WARLOCK,2,,,TGT,SPELL,COMMON
AT_025,Sombre marché,Paul Mafayon,WARLOCK,4,,,TGT,SPELL,EPIC
AT_026,Garde-courroux,Sojin Hwang,WARLOCK,2,4,3,TGT,MINION,COMMON
AT_027,Wilfred Flopboum,Tooth,WARLOCK,6,4,4,TGT,MINION,LEGENDARY
AT_028,Chevaucheur pandashan,Ryan Metcalf,ROGUE,5,3,7,TGT,MINION,COMMON
AT_029,Boucanier,Matt Dixon,ROGUE,1,2,1,TGT,MINION,COMMON
AT_030,Vaillant de Fossoyeuse,Zoltan Boros,ROGUE,2,3,2,TGT,MINION,COMMON
AT_031,Vide-gousset,Alex Horley Orlandelli,ROGUE,2,2,2,TGT,MINION,RARE
AT_032,Marchand douteux,Tooth,ROGUE,3,4,3,TGT,MINION,RARE
AT_033,Larcin,Matt Dixon,ROGUE,3,,,TGT,SPELL,RARE
AT_034,Lame empoisonnée,Nutthapon Petchthai,ROGUE,2,1,,TGT,WEAPON,EPIC
AT_035,Embusqué,Daren Bader,ROGUE,3,,,TGT,SPELL,EPIC
AT_036,Anub’arak,Eric Braddock,ROGUE,8,8,4,TGT,MINION,LEGENDARY
AT_037,Racines vivantes,Dan Brereton,DRUID,1,,,TGT,SPELL,COMMON
AT_038,Aspirante de Darnassus,Laurel Austin,DRUID,2,2,3,TGT,MINION,RARE
AT_039,Combattant sauvage,Alex Pascenko,DRUID,4,5,4,TGT,MINION,RARE
AT_040,Marcheuse sauvage,James Ryman,DRUID,4,4,4,TGT,MINION,COMMON
AT_041,Chevalier des étendues sauvages,Ralph Horsley,DRUID,7,6,6,TGT,MINION,RARE
AT_042,Druidesse du Sabre,Arthur Gimaldinov,DRUID,2,2,1,TGT,MINION,COMMON
AT_043,Communion astrale,Christopher Moeller,DRUID,4,,,TGT,SPELL,EPIC
AT_044,Charpie,Dan Scott,DRUID,3,,,TGT,SPELL,EPIC
AT_045,Aviana,Velvet Engine,DRUID,9,5,5,TGT,MINION,LEGENDARY
AT_046,Rohart totémique,Eva Widermann,SHAMAN,2,3,2,TGT,MINION,COMMON
AT_047,Grave-totem draeneï,RK Post,SHAMAN,4,4,5,TGT,MINION,RARE
AT_048,Vague de soins,Luca Zontini,SHAMAN,3,,,TGT,SPELL,RARE
AT_049,Vaillant des Pitons-du-Tonnerre,Sean McNally,SHAMAN,5,3,6,TGT,MINION,RARE
AT_050,Marteau chargé,Peet Cooper,SHAMAN,3,2,,TGT,WEAPON,EPIC
AT_051,Destruction élémentaire,Tyler Walpole,SHAMAN,3,,,TGT,SPELL,EPIC
AT_052,Golem totémique,Steve Prescott,SHAMAN,2,3,4,TGT,MINION,COMMON
AT_053,Savoir ancestral,Zoltan & Gabor,SHAMAN,2,,,TGT,SPELL,COMMON
AT_054,Le mandebrume,Wei Wang,SHAMAN,6,4,4,TGT,MINION,LEGENDARY
AT_055,Soins rapides,Marcelo Vignali,PRIEST,1,,,TGT,SPELL,COMMON
AT_056,Tir puissant,Jonboy Meyers,HUNTER,3,,,TGT,SPELL,RARE
AT_057,Maître des écuries,Tyson Murphy,HUNTER,3,4,2,TGT,MINION,EPIC
AT_058,Elekk du roi,James Zhang,HUNTER,2,3,2,TGT,MINION,COMMON
